id;SITE_ID;SysID;SiteName;NE_ID;NE_Name;FE_ID;FE_Name;HOP_ID_ DETAIL
1;MGR001;MGR001MD1;Manggar;MGR001;Manggar;MGR003;Gantung;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
2;MGR001;MGR001MD1;Manggar;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
3;MGR001;MGR001MD1;Manggar;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
4;MGR001;MGR001MD1;Manggar;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
5;MGR001;MGR001MD1;Manggar;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
6;MGR001;MGR001MD1;Manggar;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
7;MGR001;MGR001MD1;Manggar;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
8;MGR002;MGR002MD1;Kelapa Kampit;MGR002;MGR002MD1_TSEL_KelapaKampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
9;MGR002;MGR002MD1;Kelapa Kampit;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
10;MGR002;MGR002MD1;Kelapa Kampit;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
11;MGR002;MGR002MD1;Kelapa Kampit;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
12;MGR003;MGR003MD1;Gantung;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
13;MGR003;MGR003MD1;Gantung;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
14;MGR003;MGR003MD1;Gantung;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
15;MGR003;MGR003MD1;Gantung;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
16;MGR003;MGR003MD1;Gantung;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
17;MGR003;MGR003MD1;Gantung;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
18;MGR004;MGR004MG1;Buding;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
19;MGR004;MGR004MG1;Buding;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
20;MGR004;MGR004MG1;Buding;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
21;MGR007;MGR007MG1;Perumahan Mempaya;MGR007;Perumahan Mempaya;MGR025;Sukamandi;MGR007<>MGR025_IPASO1000_TELKOM_100_7742
22;MGR007;MGR007MG1;Perumahan Mempaya;MGR025;Sukamandi;MGR001;Manggar;MGR025<>MGR001_IPASO400_TELKOMSEL_50_7191
23;MGR007;MGR007MG1;Perumahan Mempaya;MGR001;Manggar;MGR018;Air Kelik;MGR001<>MGR018_IPASO400_TELKOMSEL_100_7491
24;MGR007;MGR007MG1;Perumahan Mempaya;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
25;MGR007;MGR007MG1;Perumahan Mempaya;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
26;MGR007;MGR007MG1;Perumahan Mempaya;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
27;MGR007;MGR007MG1;Perumahan Mempaya;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
28;MGR007;MGR007MG1;Perumahan Mempaya;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
29;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR008;MGR008MG1_TSEL_JangkarAsam;MGR003;Gantung;MGR008<>MGR003_IPASO400_TELKOMSEL_50_7498
30;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
31;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
32;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
33;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
34;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
35;MGR008;MGR008MG1;MGR008MG1_TSEL_JangkarAsam;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
36;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;MGR009;MGR009MG1_TSEL_Jangkang;MGR011;Dendang Belitung;MGR009<>MGR011_IPASO200_TELKOM_50_7247
37;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
38;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
39;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
40;MGR009;MGR009MG1;MGR009MG1_TSEL_Jangkang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
41;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR010;MGR010MG1_TSEL_Kelubi;MGR001;Manggar;MGR010<>MGR001_IPASO400_TELKOMSEL_50_7470
42;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR001;Manggar;MGR003;Gantung;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
43;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
44;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
45;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
46;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
47;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
48;MGR010;MGR010MG1;MGR010MG1_TSEL_Kelubi;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
49;MGR011;MGR011MG1;Dendang Belitung;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
50;MGR011;MGR011MG1;Dendang Belitung;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
51;MGR011;MGR011MG1;Dendang Belitung;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
52;MGR011;MGR011MG1;Dendang Belitung;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
53;MGR012;MGR012MG1;Tanjung Batu Itam;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
54;MGR012;MGR012MG1;Tanjung Batu Itam;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
55;MGR012;MGR012MG1;Tanjung Batu Itam;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
56;MGR012;MGR012MG1;Tanjung Batu Itam;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
57;MGR012;MGR012MG1;Tanjung Batu Itam;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
58;MGR013;MGR013MG1;Renggiang;MGR013;Renggiang;MGR003;Gantung;MGR013<>_IPASO1000_TELKOM_100_7836.65
59;MGR013;MGR013MG1;Renggiang;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
60;MGR013;MGR013MG1;Renggiang;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
61;MGR013;MGR013MG1;Renggiang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
62;MGR013;MGR013MG1;Renggiang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
63;MGR013;MGR013MG1;Renggiang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
64;MGR013;MGR013MG1;Renggiang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
65;MGR014;MGR014MG1;Tanjung Kelumpang;MGR014;Tanjung Kelumpang;MGR012;Tanjung Batu Hitam;MGR014<>MGR012_IPASO1000_TELKOM_100_7554
66;MGR014;MGR014MG1;Tanjung Kelumpang;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
67;MGR014;MGR014MG1;Tanjung Kelumpang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
68;MGR014;MGR014MG1;Tanjung Kelumpang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
69;MGR014;MGR014MG1;Tanjung Kelumpang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
70;MGR014;MGR014MG1;Tanjung Kelumpang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
71;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;MGR015;MGR015MG1_DMT_Lalang;MGR001;Manggar;MGR015<>MGR001_NEOC_TELKOMSEL_40_14641
72;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;MGR001;Manggar;MGR003;Gantung;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
73;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
74;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
75;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
76;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
77;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
78;MGR015;MGR015MG1;MGR015MG1_DMT_Lalang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
79;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;MGR016;MGR016MG1_TSEL_PadangSahagi;MGR001;Manggar;MGR016<>MGR001_IPASO1000_TELKOM_50_15131
80;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;MGR001;Manggar;MGR003;Gantung;MGR001<>MGR003_IPASO400_TELKOMSEL_150_7687
81;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
82;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
83;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
84;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
85;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
86;MGR016;MGR016MG1;MGR016MG1_TSEL_PadangSahagi;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
87;MGR017;MGR017MG1;MGR017MG1_TSEL_PT.SteelindoBelitung;MGR017;MGR017MG1_TSEL_PT.SteelindoBelitung;MGR004;Buding;MGR017<>MGR004_IPASO200_TELKOMSEL_50_7247
88;MGR017;MGR017MG1;MGR017MG1_TSEL_PT.SteelindoBelitung;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
89;MGR017;MGR017MG1;MGR017MG1_TSEL_PT.SteelindoBelitung;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
90;MGR017;MGR017MG1;MGR017MG1_TSEL_PT.SteelindoBelitung;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
91;MGR018;MGR018MG1;Air Kelik;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
92;MGR018;MGR018MG1;Air Kelik;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
93;MGR018;MGR018MG1;Air Kelik;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
94;MGR018;MGR018MG1;Air Kelik;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
95;MGR018;MGR018MG1;Air Kelik;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
96;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;MGR019;MGR019MG1_TSEL_Selinsing;MGR001;Manggar;MGR019<>MGR001_IPASO400_TELKOMSEL_50_7296
97;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;MGR001;Manggar;MGR018;Air Kelik;MGR001<>MGR018_IPASO400_TELKOMSEL_100_7491
98;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
99;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
100;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
101;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
102;MGR019;MGR019MG1;MGR019MG1_TSEL_Selinsing;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
103;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;MGR020;Lintang;MGR003;Gantung;MGR020<>MGR003_IPASO400_TELKOM_50_7240
104;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;MGR003;Gantung;MGR012;Tanjung Batu Itam;MGR003<>MGR012_IPASO400_TELKOMSEL_100_7554
105;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;MGR012;Tanjung Batu Itam;MGR011;Dendang Belitung;MGR012<>MGR011_IPASO1000_TELKOMSEL_100_7526
106;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
107;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
108;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
109;MGR020;MGR020MG1;MGR020MG1_TSEL_Lintang;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
110;MGR021;MGR021MG1;MGR021MG1_TSEL_SimpangPesak;MGR021;MGR021MG1_TSEL_SimpangPesak;MGR011;Dendang Belitung;MGR021<>MGR011_IPASO400_TELKOM_50_7156
111;MGR021;MGR021MG1;MGR021MG1_TSEL_SimpangPesak;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
112;MGR021;MGR021MG1;MGR021MG1_TSEL_SimpangPesak;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
113;MGR021;MGR021MG1;MGR021MG1_TSEL_SimpangPesak;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
114;MGR021;MGR021MG1;MGR021MG1_TSEL_SimpangPesak;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
115;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;MGR022;MGR022MG1_TSEL_Lilangan;MGR021;Simpang Pesak;MGR022<>MGR021_IPASO400_TELKOM_50_7135
116;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;MGR021;Simpang Pesak;MGR011;Dendang Belitung;MGR021<>MGR011_IPASO400_TELKOM_50_7156
117;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;MGR011;Dendang Belitung;TJN010;Membalong;MGR011<>TJN010_IPASO1000_TELKOMSEL_150_7484
118;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;TJN010;Membalong;TJN008;Pangkal Dudat Rep;TJN010<>TJN008_IPASO400_TELKOMSEL_150_7491
119;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;TJN008;Pangkal Dudat Rep;TJN012;Tanjung Pandan 3;TJN008<>TJN012_IPASO400_TELKOMSEL_150_76031
120;MGR022;MGR022MG1;MGR022MG1_TSEL_Lilangan;TJN012;Tanjung Pandan 3;TJN002;Tanjung Pandan II;TJN012<>TJN002_IPASO400_TELKOMSEL_50_12751
121;MGR023;MGR023MG1;Nyuruk;MGR023;Nyuruk;TJN006;Badau;MGR023<>TJN006_IPASO1000_TELKOM_100_7240
122;MGR023;MGR023MG1;Nyuruk;TJN006;Badau;TJN002;Tanjung Pandan II;TJN006<>TJN002_IPASO1000_TELKOMSEL_100_7747.7
123;MGR024;MGR024MG1;Bentaian;MGR024;Bentaian;MGR001;Manggar;MGR024<>MGR001_IPASO1000_TELKOM_100_7836.65
124;MGR024;MGR024MG1;Bentaian;MGR001;Manggar;MGR018;Air Kelik;MGR001<>MGR018_IPASO400_TELKOMSEL_100_7652
125;MGR024;MGR024MG1;Bentaian;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_200_7652
126;MGR024;MGR024MG1;Bentaian;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_200_7512
127;MGR024;MGR024MG1;Bentaian;MGR004;Buding;TJN027;Kacang Butor;MGR004<>TJN027_IPASO400_TELKOMSEL_150_7603
128;MGR024;MGR024MG1;Bentaian;TJN027;Kacang Butor;TJN020;Sungai Samak;TJN027<>TJN020_IPASO400_TELKOMSEL_150_7554
129;MGR024;MGR024MG1;Bentaian;TJN020;Sungai Samak;TJN002;Tanjung Pandan II;TJN020<>TJN002_IPASO400_TELKOMSEL_150_7498
130;MGR025;MGR025MG1;MGR025MG1_TSEL_Sukamandi;MGR025;MGR025MG1_TSEL_Sukamandi;MGR001;Manggar;MGR025<>MGR001_IPASO200_TELKOMSEL_50_7191
131;MGR025;MGR025MG1;MGR025MG1_TSEL_Sukamandi;MGR001;Manggar;MGR018;Air Kelik;MGR001<>MGR018_IPASO400_TELKOMSEL_150_7652
132;MGR025;MGR025MG1;MGR025MG1_TSEL_Sukamandi;MGR018;Air Kelik;MGR002;Kelapa Kampit;MGR018<>MGR002_MLTN_TELKOMSEL_50_7652
133;MGR025;MGR025MG1;MGR025MG1_TSEL_Sukamandi;MGR002;Kelapa Kampit;MGR004;Buding;MGR002<>MGR004_MLTN_TELKOMSEL_50_7512
